Bahnhof_Gare_Stazione,Unité,Jahr,Anzahl Bahnhofbenutzer
Bern,DP/jour ouvré,2023,296500
Basel SBB,DP/jour,2018,125800
Bern,DP/jour,2013,
Basel SBB,DP/jour,2024,135500
Bern,DP/jour,2015,
Lausanne,DP/jour ouvré,2019,151500
Bern,DP/jour,2020,211000
Lausanne,DP/jour ouvré,2022,117300
Bern,DP/jour,2022,261500
Lausanne,DP/jour ouvré,2024,127900
Bern,DP/jour,2024,281900
Lausanne,DP/jour,2021,94700
Basel SBB,DP/jour ouvré,2013,134000
Lausanne,DP/jour,2022,108300
Basel SBB,DP/jour ouvré,2014,135000
Luzern,DP/jour ouvré,2018,167200
Basel SBB,DP/jour ouvré,2021,95700
Luzern,DP/jour ouvré,2019,166900
Basel SBB,DP/jour,2015,126400
Luzern,DP/jour ouvré,2022,131700
Basel SBB,DP/jour,2016,126400
Luzern,DP/jour,2013,
Basel SBB,DP/jour,2019,128400
Luzern,DP/jour,2017,161900
Lausanne,DP/jour ouvré,2014,140000
Luzern,DP/jour,2023,145200
Lausanne,DP/jour ouvré,2018,144700
St. Gallen,DP/jour,2013,
Lausanne,DP/jour ouvré,2020,96600
St. Gallen,DP/jour,2017,
Lausanne,DP/jour,2017,135600
St. Gallen,DP/jour,2019,76300
Lausanne,DP/jour,2024,117900
Winterthur,DP/jour ouvré,2015,121000
Luzern,DP/jour ouvré,2014,157000
Winterthur,DP/jour ouvré,2016,121000
Luzern,DP/jour ouvré,2015,159400
Winterthur,DP/jour ouvré,2017,117200
Luzern,DP/jour ouvré,2017,163600
Winterthur,DP/jour ouvré,2018,121200
Luzern,DP/jour,2016,160900
Winterthur,DP/jour ouvré,2020,91700
Luzern,DP/jour,2018,166300
Winterthur,DP/jour,2013,
Luzern,DP/jour,2021,102300
Winterthur,DP/jour,2015,111200
Luzern,DP/jour,2024,146600
Winterthur,DP/jour,2018,109900
St. Gallen,DP/jour,2020,49900
Zug,DP/jour ouvré,2016,66100
Winterthur,DP/jour ouvré,2021,95000
Zug,DP/jour,2019,63300
Zug,DP/jour ouvré,2021,46100
Aarau,DP/jour ouvré,2016,72400
Zug,DP/jour,2017,61000
Aarau,DP/jour ouvré,2017,72800
Zug,DP/jour,2022,52600
Aarau,DP/jour ouvré,2018,72100
Zug,DP/jour,2024,54900
Aarau,DP/jour ouvré,2022,68700
Aarau,DP/jour ouvré,2013,
Baden,DP/jour ouvré,2013,
Aarau,DP/jour ouvré,2023,76500
Baden,DP/jour ouvré,2014,
Aarau,DP/jour,2013,
Baden,DP/jour ouvré,2021,44700
Aarau,DP/jour,2021,51900
Baden,DP/jour,2015,57000
Aarau,DP/jour,2022,61700
Baden,DP/jour,2019,55600
Aarau,DP/jour,2023,68200
Baden,DP/jour,2021,41900
Aarau,DP/jour,2024,70400
Biel/Bienne,DP/jour ouvré,2021,54600
Baden,DP/jour ouvré,2017,62800
Biel/Bienne,DP/jour ouvré,2024,65200
Baden,DP/jour ouvré,2018,61300
Biel/Bienne,DP/jour,2013,
Baden,DP/jour,2013,
Biel/Bienne,DP/jour,2019,64800
Baden,DP/jour,2022,49600
Biel/Bienne,DP/jour,2024,61600
Biel/Bienne,DP/jour ouvré,2015,67900
Chur,DP/jour ouvré,2015,37200
Biel/Bienne,DP/jour ouvré,2018,68600
Chur,DP/jour ouvré,2018,37600
Biel/Bienne,DP/jour ouvré,2022,61500
Chur,DP/jour ouvré,2020,29700
Biel/Bienne,DP/jour ouvré,2023,63600
Chur,DP/jour,2013,
Biel/Bienne,DP/jour,2014,
Chur,DP/jour,2016,35300
Biel/Bienne,DP/jour,2018,64100
Fribourg/Freiburg,DP/jour ouvré,2020,23300
Biel/Bienne,DP/jour,2020,49700
Fribourg/Freiburg,DP/jour ouvré,2021,25100
Biel/Bienne,DP/jour,2022,58700
Fribourg/Freiburg,DP/jour ouvré,2022,29900
Biel/Bienne,DP/jour,2023,60300
Fribourg/Freiburg,DP/jour,2016,28200
Chur,DP/jour ouvré,2023,39500
Fribourg/Freiburg,DP/jour,2019,29500
Chur,DP/jour,2015,35300
Fribourg/Freiburg,DP/jour,2020,21300
Fribourg/Freiburg,DP/jour ouvré,2015,31000
Fribourg/Freiburg,DP/jour,2021,23100
Fribourg/Freiburg,DP/jour ouvré,2016,31100
Fribourg/Freiburg,DP/jour,2023,30400
Fribourg/Freiburg,DP/jour ouvré,2018,30600
Genève-Aéroport,DP/jour,2013,
Fribourg/Freiburg,DP/jour,2014,
Genève-Aéroport,DP/jour,2020,19500
Fribourg/Freiburg,DP/jour,2017,28000
Genève-Aéroport,DP/jour,2022,36900
Genève-Aéroport,DP/jour ouvré,2017,43800
Genève,DP/jour ouvré,2013,
Genève-Aéroport,DP/jour ouvré,2022,35700
Genève,DP/jour ouvré,2014,
Genève-Aéroport,DP/jour,2015,42200
Genève,DP/jour ouvré,2016,163200
Genève-Aéroport,DP/jour,2023,42400
Genève,DP/jour ouvré,2022,156000
Genève,DP/jour ouvré,2019,177100
Genève,DP/jour ouvré,2024,173100
Genève,DP/jour,2016,152400
Genève,DP/jour,2019,166600
Genève,DP/jour,2022,149300
Genève,DP/jour,2021,110000
Neuchâtel,DP/jour ouvré,2024,28900
Genève,DP/jour,2024,165300
Neuchâtel,DP/jour,2019,30400
Neuchâtel,DP/jour ouvré,2022,28600
Neuchâtel,DP/jour,2021,23500
Neuchâtel,DP/jour,2013,
Neuchâtel,DP/jour,2024,26700
Neuchâtel,DP/jour,2015,30600
Olten,DP/jour ouvré,2013,
Neuchâtel,DP/jour,2017,30200
Olten,DP/jour,2022,57200
Neuchâtel,DP/jour,2022,26700
Thun,DP/jour ouvré,2014,
Olten,DP/jour ouvré,2015,73200
Thun,DP/jour ouvré,2016,42800
Olten,DP/jour ouvré,2016,73600
Thun,DP/jour ouvré,2019,45200
Olten,DP/jour ouvré,2017,74700
Thun,DP/jour ouvré,2020,30500
Olten,DP/jour ouvré,2021,51300
Thun,DP/jour ouvré,2024,40400
Olten,DP/jour ouvré,2022,62900
Thun,DP/jour,2018,45000
Olten,DP/jour,2014,
Thun,DP/jour,2020,27600
Olten,DP/jour,2015,64900
Thun,DP/jour,2022,33400
Olten,DP/jour,2016,65100
Zürich Altstetten,DP/jour ouvré,2016,59700
Olten,DP/jour,2019,68100
Zürich Altstetten,DP/jour ouvré,2022,57400
Olten,DP/jour,2021,46400
Zürich Altstetten,DP/jour ouvré,2024,69700
Thun,DP/jour ouvré,2013,
Zürich Enge,DP/jour ouvré,2013,
Thun,DP/jour ouvré,2015,43200
Zürich Enge,DP/jour ouvré,2022,21900
Thun,DP/jour ouvré,2017,42400
Zürich Enge,DP/jour,2020,15500
Thun,DP/jour,2015,39800
Zürich Hardbrücke,DP/jour ouvré,2013,
Thun,DP/jour,2016,39400
Zürich Hardbrücke,DP/jour ouvré,2015,39000
Thun,DP/jour,2021,28000
Zürich Hardbrücke,DP/jour ouvré,2018,49400
Zürich Altstetten,DP/jour ouvré,2015,56700
Zürich Hardbrücke,DP/jour ouvré,2021,32900
Zürich Altstetten,DP/jour ouvré,2018,61600
Zürich Hardbrücke,DP/jour ouvré,2024,50700
Zürich Altstetten,DP/jour ouvré,2019,0
Zürich Hardbrücke,DP/jour,2021,28700
Zürich Altstetten,DP/jour,2014,
Zürich Stadelhofen,DP/jour ouvré,2016,95000
Zürich Altstetten,DP/jour,2019,0
Zürich Stadelhofen,DP/jour,2013,
Zürich Altstetten,DP/jour,2024,59500
Zürich Stadelhofen,DP/jour,2016,84000
Zürich Enge,DP/jour ouvré,2020,18100
Zürich Stadelhofen,DP/jour,2022,73300
Zürich Enge,DP/jour ouvré,2021,17400
Bellinzona,DP/jour ouvré,2016,
Zürich Enge,DP/jour,2013,
Bellinzona,DP/jour ouvré,2024,16100
Zürich Enge,DP/jour,2017,19800
Bellinzona,DP/jour,2013,
Zürich Enge,DP/jour,2021,15000
Lugano,DP/jour ouvré,2024,34100
Zürich Hardbrücke,DP/jour ouvré,2017,0
Lugano,DP/jour,2019,24100
Zürich Hardbrücke,DP/jour,2013,
Zürich Oerlikon,DP/jour ouvré,2014,
Zürich Hardbrücke,DP/jour,2014,
Zürich Oerlikon,DP/jour ouvré,2015,
Zürich Hardbrücke,DP/jour,2018,42600
Zürich Oerlikon,DP/jour,2016,
Zürich Stadelhofen,DP/jour ouvré,2015,92000
Zürich Oerlikon,DP/jour,2018,99800
Zürich Stadelhofen,DP/jour ouvré,2018,99100
Zürich Oerlikon,DP/jour,2020,75700
Zürich Stadelhofen,DP/jour,2024,75500
Zürich Oerlikon,DP/jour,2024,103300
Bellinzona,DP/jour ouvré,2013,
Uster,DP/jour,2017,
Bellinzona,DP/jour ouvré,2017,14600
Uster,DP/jour,2020,20600
Bellinzona,DP/jour ouvré,2018,14600
Genève-Eaux-Vives,DP/jour ouvré,2013,
Bellinzona,DP/jour ouvré,2019,15400
Genève-Eaux-Vives,DP/jour ouvré,2024,14500
Bellinzona,DP/jour ouvré,2020,11800
Genève-Eaux-Vives,DP/jour,2018,
Bellinzona,DP/jour ouvré,2021,12600
Zürich HB,DP/jour ouvré,2014,437000
Bellinzona,DP/jour,2021,11700
Zürich HB,DP/jour ouvré,2019,460700
Bellinzona,DP/jour,2024,15200
Zürich HB,DP/jour ouvré,2020,294600
Lugano,DP/jour ouvré,2014,
Zürich HB,DP/jour ouvré,2021,286400
Lugano,DP/jour ouvré,2019,26300
Zürich HB,DP/jour,2014,
Lugano,DP/jour,2015,
Zürich HB,DP/jour,2017,410700
Lugano,DP/jour,2017,22100
Zürich HB,DP/jour,2021,277500
Lugano,DP/jour,2020,15500
Zürich HB,DP/jour,2022,359400
Zürich Oerlikon,DP/jour ouvré,2019,117400
Zürich Oerlikon,DP/jour,2021,77100
Zürich Oerlikon,DP/jour,2023,103800
Uster,DP/jour ouvré,2018,
Uster,DP/jour ouvré,2021,22500
Uster,DP/jour,2014,
Uster,DP/jour,2015,
Uster,DP/jour,2023,25900
Genève-Eaux-Vives,DP/jour,2013,
Genève-Eaux-Vives,DP/jour,2014,
Genève-Eaux-Vives,DP/jour,2017,
Genève-Eaux-Vives,DP/jour,2021,6800
Genève-Eaux-Vives,DP/jour,2023,12000
Zürich HB,DP/jour ouvré,2018,442900
Zürich HB,DP/jour,2016,411400
Zürich HB,DP/jour,2018,418000
Zürich HB,DP/jour,2020,276000
Zürich HB,DP/jour,2024,394500
Bern,DP/jour ouvré,2013,306000
Bern,DP/jour ouvré,2014,305000
Bern,DP/jour ouvré,2017,323600
Bern,DP/jour ouvré,2018,326300
Bern,DP/jour,2014,
Bern,DP/jour,2021,216000
Basel SBB,DP/jour ouvré,2015,134500
Basel SBB,DP/jour ouvré,2016,135400
Basel SBB,DP/jour ouvré,2020,92400
Basel SBB,DP/jour ouvré,2022,124000
Basel SBB,DP/jour ouvré,2023,140400
Basel SBB,DP/jour ouvré,2024,140900
Basel SBB,DP/jour,2020,86100
Basel SBB,DP/jour,2021,91700
Lausanne,DP/jour,2014,
Lausanne,DP/jour,2015,130800
Lausanne,DP/jour,2020,88700
Lausanne,DP/jour,2023,115800
Luzern,DP/jour ouvré,2016,163200
Luzern,DP/jour ouvré,2023,144100
Luzern,DP/jour,2015,158700
St. Gallen,DP/jour ouvré,2016,77300
St. Gallen,DP/jour ouvré,2018,0
St. Gallen,DP/jour ouvré,2020,54200
St. Gallen,DP/jour ouvré,2021,54100
St. Gallen,DP/jour,2015,73300
St. Gallen,DP/jour,2018,
St. Gallen,DP/jour,2021,50600
Winterthur,DP/jour ouvré,2014,115000
Winterthur,DP/jour,2014,
Winterthur,DP/jour,2022,111600
Zug,DP/jour,2014,
Aarau,DP/jour ouvré,2019,76000
Aarau,DP/jour ouvré,2024,78600
Aarau,DP/jour,2016,64200
Aarau,DP/jour,2017,64400
Aarau,DP/jour,2018,63900
Aarau,DP/jour,2019,68300
Baden,DP/jour ouvré,2016,62700
Baden,DP/jour,2020,42100
Baden,DP/jour,2023,55400
Biel/Bienne,DP/jour,2015,63400
Biel/Bienne,DP/jour,2016,62700
Chur,DP/jour ouvré,2013,
Chur,DP/jour ouvré,2021,31400
Chur,DP/jour ouvré,2024,40300
Chur,DP/jour,2023,37600
Fribourg/Freiburg,DP/jour ouvré,2017,30900
Fribourg/Freiburg,DP/jour,2022,27700
Fribourg/Freiburg,DP/jour,2024,29500
Genève-Aéroport,DP/jour ouvré,2015,40600
Genève-Aéroport,DP/jour ouvré,2024,43000
Genève-Aéroport,DP/jour,2016,43200
Genève,DP/jour ouvré,2020,111700
Genève,DP/jour,2017,155500
Neuchâtel,DP/jour ouvré,2020,23600
Neuchâtel,DP/jour ouvré,2023,29300
Neuchâtel,DP/jour,2014,
Olten,DP/jour ouvré,2014,
Olten,DP/jour ouvré,2020,52400
Olten,DP/jour ouvré,2024,69600
Olten,DP/jour,2020,46700
Olten,DP/jour,2023,62400
Thun,DP/jour,2013,
Thun,DP/jour,2014,
Thun,DP/jour,2017,38900
Thun,DP/jour,2023,37500
Thun,DP/jour,2024,37500
Zürich Altstetten,DP/jour ouvré,2014,
Zürich Altstetten,DP/jour,2022,49300
Zürich Altstetten,DP/jour,2023,57600
Zürich Enge,DP/jour ouvré,2017,23000
Zürich Enge,DP/jour ouvré,2024,24400
Zürich Enge,DP/jour,2014,
Zürich Enge,DP/jour,2024,21200
Zürich Hardbrücke,DP/jour ouvré,2020,34300
Zürich Hardbrücke,DP/jour ouvré,2023,50000
Zürich Hardbrücke,DP/jour,2020,29100
Zürich Hardbrücke,DP/jour,2024,44400
Zürich Stadelhofen,DP/jour ouvré,2013,
Zürich Stadelhofen,DP/jour ouvré,2014,
Zürich Stadelhofen,DP/jour ouvré,2022,81100
Zürich Stadelhofen,DP/jour ouvré,2023,86800
Zürich Stadelhofen,DP/jour,2014,
Zürich Stadelhofen,DP/jour,2015,81000
Zürich Stadelhofen,DP/jour,2018,88200
Zürich Stadelhofen,DP/jour,2023,78900
Bellinzona,DP/jour ouvré,2014,
Bellinzona,DP/jour,2014,
Bellinzona,DP/jour,2015,
Bellinzona,DP/jour,2016,
Bellinzona,DP/jour,2018,13700
Bellinzona,DP/jour,2020,11000
Lugano,DP/jour ouvré,2013,
Lugano,DP/jour ouvré,2015,
Lugano,DP/jour ouvré,2016,
Lugano,DP/jour ouvré,2017,24200
Lugano,DP/jour ouvré,2021,21700
Lugano,DP/jour ouvré,2023,30000
Lugano,DP/jour,2013,
Lugano,DP/jour,2014,
Lugano,DP/jour,2022,25600
Zürich Oerlikon,DP/jour ouvré,2023,113900
Zürich Oerlikon,DP/jour,2014,
Zürich Oerlikon,DP/jour,2017,94200
Zürich Oerlikon,DP/jour,2019,105400
Uster,DP/jour ouvré,2019,28000
Uster,DP/jour,2013,
Uster,DP/jour,2018,
Uster,DP/jour,2021,20900
Genève-Eaux-Vives,DP/jour ouvré,2016,
Genève-Eaux-Vives,DP/jour ouvré,2022,11200
Genève-Eaux-Vives,DP/jour ouvré,2023,13400
Genève-Eaux-Vives,DP/jour,2015,
Zürich HB,DP/jour ouvré,2013,429000
Zürich HB,DP/jour ouvré,2022,367400
Zürich HB,DP/jour,2013,
Bern,DP/jour ouvré,2015,313000
Bern,DP/jour ouvré,2024,298900
Bern,DP/jour,2017,299100
Bern,DP/jour,2019,307000
Basel SBB,DP/jour ouvré,2018,134000
Basel SBB,DP/jour ouvré,2019,136200
Basel SBB,DP/jour,2013,
Basel SBB,DP/jour,2014,
Basel SBB,DP/jour,2022,119800
Basel SBB,DP/jour,2023,134900
Lausanne,DP/jour ouvré,2013,139000
Lausanne,DP/jour ouvré,2015,142600
Lausanne,DP/jour ouvré,2021,102700
Lausanne,DP/jour ouvré,2023,125600
Lausanne,DP/jour,2013,
Lausanne,DP/jour,2016,136000
Lausanne,DP/jour,2019,140100
Luzern,DP/jour ouvré,2013,160000
Luzern,DP/jour ouvré,2020,104700
Luzern,DP/jour ouvré,2021,102500
Luzern,DP/jour ouvré,2024,145400
Luzern,DP/jour,2014,
St. Gallen,DP/jour ouvré,2013,79000
St. Gallen,DP/jour ouvré,2017,
St. Gallen,DP/jour ouvré,2019,81800
St. Gallen,DP/jour ouvré,2022,69100
St. Gallen,DP/jour,2016,71800
St. Gallen,DP/jour,2022,65100
St. Gallen,DP/jour,2024,72300
Winterthur,DP/jour ouvré,2023,131100
Winterthur,DP/jour,2020,82300
Winterthur,DP/jour,2021,86200
Zug,DP/jour ouvré,2013,62000
Zug,DP/jour ouvré,2017,66400
Zug,DP/jour ouvré,2018,66400
Zug,DP/jour ouvré,2019,67700
Zug,DP/jour ouvré,2022,55600
Zug,DP/jour,2013,
Zug,DP/jour,2015,57900
Zug,DP/jour,2020,44200
Zug,DP/jour,2021,43400
Aarau,DP/jour ouvré,2021,58000
Aarau,DP/jour,2015,63100
Baden,DP/jour ouvré,2015,62700
Baden,DP/jour ouvré,2019,60300
Baden,DP/jour ouvré,2022,52500
Baden,DP/jour ouvré,2024,55400
Baden,DP/jour,2014,
Baden,DP/jour,2016,57200
Biel/Bienne,DP/jour ouvré,2013,
Biel/Bienne,DP/jour ouvré,2014,
Biel/Bienne,DP/jour ouvré,2016,67300
Biel/Bienne,DP/jour ouvré,2019,69400
Biel/Bienne,DP/jour ouvré,2020,53000
Biel/Bienne,DP/jour,2017,62300
Biel/Bienne,DP/jour,2021,51600
Chur,DP/jour,2019,37500
Fribourg/Freiburg,DP/jour ouvré,2014,
Fribourg/Freiburg,DP/jour ouvré,2019,32200
Fribourg/Freiburg,DP/jour ouvré,2023,32800
Fribourg/Freiburg,DP/jour ouvré,2024,31500
Fribourg/Freiburg,DP/jour,2018,27900
Genève-Aéroport,DP/jour ouvré,2013,
Genève-Aéroport,DP/jour ouvré,2014,
Genève-Aéroport,DP/jour ouvré,2016,41800
Genève-Aéroport,DP/jour ouvré,2018,44400
Genève-Aéroport,DP/jour ouvré,2019,45900
Genève-Aéroport,DP/jour ouvré,2023,41100
Genève-Aéroport,DP/jour,2017,45200
Genève-Aéroport,DP/jour,2018,45300
Genève-Aéroport,DP/jour,2024,44100
Genève,DP/jour ouvré,2015,150700
Genève,DP/jour ouvré,2018,171400
Genève,DP/jour ouvré,2021,115600
Genève,DP/jour ouvré,2023,171000
Neuchâtel,DP/jour ouvré,2015,33400
Neuchâtel,DP/jour ouvré,2016,33200
Neuchâtel,DP/jour ouvré,2018,32600
Neuchâtel,DP/jour ouvré,2019,33000
Neuchâtel,DP/jour,2016,30400
Neuchâtel,DP/jour,2018,30000
Neuchâtel,DP/jour,2023,27100
Olten,DP/jour ouvré,2019,76600
Olten,DP/jour,2013,
Olten,DP/jour,2018,67800
Thun,DP/jour ouvré,2022,35900
Thun,DP/jour,2019,41700
Zürich Altstetten,DP/jour ouvré,2013,
Zürich Altstetten,DP/jour ouvré,2017,64100
Zürich Altstetten,DP/jour,2015,46900
