Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST (Rp./kWH),Netznutzung (Rp./kWH),Energielieferungkosten (Rp./kWH),Abgaben an das Gemeinwesen (Rp./kWH),Förderabgaben (KEV) (Rp./kWH)
Appenzell Ausserrhoden,H4,2025,Günstigstes Produkt,29.12333333333333,11.83333333333333,14.99,0,2.3
Graubünden,C3,2025,Günstigstes Produkt,29.366,13.116,11.95,2,2.3
Wallis,C3,2025,Günstigstes Produkt,25.735,7.89,14.625,0.92,2.3
Graubünden,H1,2025,Günstigstes Produkt,31.84,15.59,11.95,2,2.3
Graubünden,H1,2020,Günstigstes Produkt,23.76,11.9658333333333,8,2,2.3
Jura,H5,2025,Günstigstes Produkt,26.04,12.4,10.04,1.3,2.3
Jura,H5,2018,Günstigstes Produkt,22.79493333333333,10.332,8.66293333333333,1.5,2.3
Solothurn,H1,2023,Günstigstes Produkt,30.2625,15.9928125,12.01067708333333,1.1,2.3
Appenzell Innerrhoden,C2,2018,Günstigstes Produkt,16.58571666666667,7.4255,6.86021666666667,0,2.3
St. Gallen,C2,2022,Günstigstes Produkt,19.64445,8.268141666666667,8.476308333333334,0.6,2.3
Jura,H5,2024,Günstigstes Produkt,27.51,13.57,10.54,1.1,2.3
Appenzell Ausserrhoden,H4,2021,Günstigstes Produkt,19.26333333333333,9.23333333333333,7.73,0,2.3
Glarus,C3,2019,Günstigstes Produkt,19.45199999999997,10.9653333333333,5.88666666666667,0.3,2.3
St. Gallen,H1,2018,Günstigstes Produkt,23.00735119047616,12.4951085758377,7.08,0.9,2.3
Wallis,H4,2020,Günstigstes Produkt,17.48666666666667,6.86666666666667,7.5,0.82,2.3
Bern,H5,2019,Günstigstes Produkt,22.12106666666666,11.0813333333333,8.50293333333333,1.5,2.3
Waadt,H4,2018,Günstigstes Produkt,21.33047619047619,9.59619047619048,8.33428571428571,0.9,2.3
Luzern,C3,2021,Günstigstes Produkt,15.82473333333333,7.41844444444444,5.36444444444444,0.741844444444445,2.3
Zürich,H5,2018,Günstigstes Produkt,16.07292380952382,8.41172628571428,5.58918095238095,0.32,2.3
Zürich,C2,2020,Günstigstes Produkt,18.7135,8.52898,7.73525,0.32,2.3
Graubünden,C3,2023,Günstigstes Produkt,25.67,9.347333333333333,10.45,0.95,2.3
Glarus,C3,2023,Günstigstes Produkt,28.456,12.35133333333333,13.50466666666667,0.3,2.3
Appenzell Ausserrhoden,H4,2020,Günstigstes Produkt,18.00333333333333,8.47333333333333,7.23,0,2.3
Zug,C3,2019,Günstigstes Produkt,15.08833333333333,7.03,5.75833333333333,0,2.3
Graubünden,C3,2021,Günstigstes Produkt,18.91666666666667,8.352333333333336,7.6,0.95,2.3
Wallis,H4,2021,Günstigstes Produkt,17.25066666666667,7.36666666666667,6.7,0.884,2.3
Appenzell Ausserrhoden,C3,2023,Günstigstes Produkt,22.15724166666667,7.568,12.28924166666667,0,2.3
Aargau,C2,2021,Günstigstes Produkt,18.192467,7.77445,7.66115,0.456867,2.3
Glarus,C3,2025,Günstigstes Produkt,27.356,12.656,11.4,1,2.3
Schwyz,H4,2024,Günstigstes Produkt,28.93,12.91433333333333,13.10744444444444,1.24,2.3
Freiburg,C2,2019,Günstigstes Produkt,19.44712111111111,7.74109333333333,9.40602777777778,0,2.3
Waadt,H5,2021,Günstigstes Produkt,21.15998095238096,9.25201904761905,6.78796190476191,2.6,2.3
Glarus,C3,2021,Günstigstes Produkt,18.88533333333333,10.308,5.97733333333333,0.3,2.3
Schaffhausen,H5,2022,Günstigstes Produkt,17.86016666666667,8.661428571428571,6.898738095238095,0,2.3
Basel-Landschaft,C3,2023,Günstigstes Produkt,21.7552,9.638,9.4772,0.34,2.3
Bern,C3,2020,Günstigstes Produkt,20.936,9.95344444444445,8.51255555555555,0.2,2.3
Zug,C3,2025,Günstigstes Produkt,25.7756,11.0256,12.45,0,2.3
Basel-Landschaft,C2,2025,Günstigstes Produkt,30.621,15.302,12.679,0.34,2.3
Glarus,H5,2018,Günstigstes Produkt,17.77942857142858,9.19971428571429,5.17971428571429,0.3,2.3
Solothurn,H4,2018,Günstigstes Produkt,20.8265,9.68673809523809,8.28407142857143,1,2.3
Basel-Landschaft,C3,2021,Günstigstes Produkt,17.72090166333334,7.78666666666667,7.21154166666667,0.42269333,2.3
Thurgau,C2,2021,Günstigstes Produkt,17.0276,7.67,6.82075,0.26,2.3
St. Gallen,C2,2025,Günstigstes Produkt,29.7403,11.04571666666667,15.79458333333333,0.6,2.3
Glarus,C3,2020,Günstigstes Produkt,19.69466666666667,10.708,6.38666666666667,0.3,2.3
Schwyz,H5,2021,Günstigstes Produkt,18.0842,7.96,6.5712,1.24,2.3
Freiburg,H4,2019,Günstigstes Produkt,20.14324444444445,8.85546666666667,8.98777777777778,0,2.3
Waadt,C3,2020,Günstigstes Produkt,17.968,6.97866666666667,7.78933333333333,0.9,2.3
Zug,C3,2023,Günstigstes Produkt,22.96088888888889,8.570333333333334,12.09055555555556,0,2.3
Schwyz,H4,2020,Günstigstes Produkt,21.13911111111111,9.35342857142857,7.38133333333333,1.24,2.3
Jura,C3,2023,Günstigstes Produkt,21.54159444444445,9.879372222222223,9.162222222222223,0.2,2.3
St. Gallen,H4,2024,Günstigstes Produkt,31.20533333333333,12.16333333333333,16.0142,0.6,2.3
Obwalden,C2,2018,Günstigstes Produkt,19.69235555555556,9.26515555555556,6.7272,1.4,2.3
Appenzell Ausserrhoden,H5,2020,Günstigstes Produkt,16.02921428571428,6.87185714285714,6.85735714285714,0,2.3
Zug,C3,2018,Günstigstes Produkt,15.72388888888889,7.29655555555556,5.89233333333333,0.235,2.3
